sep=,
time,in,out
1678060800,103320,205089
1678053600,160276,257064
1678046400,241366,367594
1678039200,271881,374097
1678032000,281107,427603
1678024800,290923,427603
1678017600,275625,387965
1678010400,200691,331874
1678003200,86863,151810
1677996000,52452,97830
1677988800,68140,140567
1677981600,85498,135297
1677974400,150297,264307
1677967200,232710,356528
1677960000,273880,408335
1677952800,399251,735114
1677945600,355663,547543
1677938400,397510,499192
1677931200,428719,578489
1677924000,333741,515359
1677916800,107404,193174
1677909600,62198,123374
1677902400,55005,102719
1677895200,79719,193303
1677888000,132190,277897
1677880800,291254,503146
1677873600,435535,662553
1677866400,675310,1006052
1677859200,741769,986272
1677852000,716792,986272
1677844800,640229,929614
1677837600,609569,910634
1677830400,117086,259643
1677823200,53196,118224
1677816000,46015,71469
1677808800,63509,117084
1677801600,120790,206019
1677794400,208256,285139
1677787200,359258,547057
1677780000,604230,821309
1677772800,719020,891940
1677765600,764604,962941
1677758400,786810,1172387
1677751200,693405,1172387
1677744000,161743,305115
1677736800,49414,99362
1677729600,50281,100880
1677722400,61769,104156
1677715200,125334,231226
1677708000,232534,388837
1677700800,403104,682431
1677693600,602189,1119793
1677686400,748622,975194
1677679200,802428,981737
1677672000,781429,1024118
1677664800,655393,1030790
1677657600,127304,264290
1677650400,38335,54203
1677643200,43534,62993
1677636000,73162,243785
1677628800,116518,255162
1677621600,210992,419232
1677614400,389023,617934
1677607200,586417,804762
1677600000,688621,833717
1677592800,681025,856078
1677585600,725824,990889
1677578400,595978,855069
1677571200,114048,272275
1677564000,45132,82255
1677556800,51553,91122
